=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.22 18:20:31 =~=~=~=~=~=~=~=~=~=~=~=
100->0,30,42.96
100->0,60,42.30
100->0,90,41.48
100->0,120,40.43
100->0,150,39.69
100->0,180,38.60
100->0,210,37.41
100->0,240,36.32
100->0,270,35.53
100->0,300,34.88
100->0,330,34.31
100->0,360,34.05
100->0,390,33.81
100->0,420,33.53
100->0,450,33.30
100->0,480,33.06
100->0,511,32.90
100->0,541,32.72
100->0,571,32.55
100->0,601,32.41
100->0,631,32.27
100->0,661,32.14
100->0,691,32.01
100->0,721,31.91
100->0,751,31.80
100->0,781,31.72
100->0,811,31.63
100->0,841,31.55
100->0,871,31.46
100->0,901,31.38
100->0,931,31.31
100->0,961,31.24
100->0,992,31.17
100->0,1022,31.12
100->0,1052,31.09
100->0,1082,31.10
100->0,1112,31.09
100->0,1142,31.09
100->0,1172,31.08
100->0,1202,31.08
